chamber,date.time,air.temp
4,7/15/22 17:00,24.835
4,7/15/22 17:15,25.902
4,7/15/22 17:30,26.195
4,7/15/22 17:45,26.097
4,7/15/22 18:00,26.097
4,7/15/22 18:15,26.097
4,7/15/22 18:30,26
4,7/15/22 18:45,26
4,7/15/22 19:00,26
4,7/15/22 19:15,26
4,7/15/22 19:30,26
4,7/15/22 19:45,26
4,7/15/22 20:00,26
4,7/15/22 20:15,26
4,7/15/22 20:30,26
4,7/15/22 20:45,26
4,7/15/22 21:00,26
4,7/15/22 21:15,26
4,7/15/22 21:30,26
4,7/15/22 21:45,26
4,7/15/22 22:00,26
4,7/15/22 22:15,26
4,7/15/22 22:30,26
4,7/15/22 22:45,26
4,7/15/22 23:00,25.61
4,7/15/22 23:15,25.513
4,7/15/22 23:30,25.513
4,7/15/22 23:45,23.196
4,7/16/22 0:00,22.525
4,7/16/22 0:15,22.429
4,7/16/22 0:30,22.142
4,7/16/22 0:45,21.855
4,7/16/22 1:00,21.855
4,7/16/22 1:15,20.043
4,7/16/22 1:30,17.76
4,7/16/22 1:45,16.903
4,7/16/22 2:00,17.189
4,7/16/22 2:15,17.475
4,7/16/22 2:30,17.665
4,7/16/22 2:45,17.475
4,7/16/22 3:00,17.665
4,7/16/22 3:15,17.665
4,7/16/22 3:30,17.665
4,7/16/22 3:45,17.665
4,7/16/22 4:00,17.665
4,7/16/22 4:15,17.665
4,7/16/22 4:30,17.665
4,7/16/22 4:45,17.57
4,7/16/22 5:00,17.57
4,7/16/22 5:15,17.57
4,7/16/22 5:30,17.665
4,7/16/22 5:45,17.76
4,7/16/22 6:00,17.76
4,7/16/22 6:15,17.855
4,7/16/22 6:30,17.855
4,7/16/22 6:45,17.855
4,7/16/22 7:00,17.76
4,7/16/22 7:15,17.855
4,7/16/22 7:30,17.855
4,7/16/22 7:45,17.76
4,7/16/22 8:00,17.855
4,7/16/22 8:15,17.855
4,7/16/22 8:30,17.094
4,7/16/22 8:45,15.951
4,7/16/22 9:00,15.855
4,7/16/22 9:15,17.284
4,7/16/22 9:30,17.57
4,7/16/22 9:45,17.189
4,7/16/22 10:00,17.284
4,7/16/22 10:15,17.76
4,7/16/22 10:30,18.236
4,7/16/22 10:45,19.092
4,7/16/22 11:00,20.71
4,7/16/22 11:15,22.142
4,7/16/22 11:30,23.004
4,7/16/22 11:45,25.028
4,7/16/22 12:00,25.125
4,7/16/22 12:15,25.319
4,7/16/22 12:30,25.61
4,7/16/22 12:45,25.61
4,7/16/22 13:00,25.61
4,7/16/22 13:15,25.61
4,7/16/22 13:30,25.513
4,7/16/22 13:45,25.513
4,7/16/22 14:00,25.416
