chamber,date.time,air.temp
2,7/15/22 17:00,24.351
2,7/15/22 17:15,25.513
2,7/15/22 17:30,25.708
2,7/15/22 17:45,25.708
2,7/15/22 18:00,25.708
2,7/15/22 18:15,25.708
2,7/15/22 18:30,25.708
2,7/15/22 18:45,25.708
2,7/15/22 19:00,25.708
2,7/15/22 19:15,25.708
2,7/15/22 19:30,25.708
2,7/15/22 19:45,25.708
2,7/15/22 20:00,25.708
2,7/15/22 20:15,25.708
2,7/15/22 20:30,25.708
2,7/15/22 20:45,25.708
2,7/15/22 21:00,25.708
2,7/15/22 21:15,25.708
2,7/15/22 21:30,25.708
2,7/15/22 21:45,25.708
2,7/15/22 22:00,25.708
2,7/15/22 22:15,25.708
2,7/15/22 22:30,25.708
2,7/15/22 22:45,25.708
2,7/15/22 23:00,25.416
2,7/15/22 23:15,25.319
2,7/15/22 23:30,25.319
2,7/15/22 23:45,22.812
2,7/16/22 0:00,22.429
2,7/16/22 0:15,22.525
2,7/16/22 0:30,22.238
2,7/16/22 0:45,22.238
2,7/16/22 1:00,22.238
2,7/16/22 1:15,18.236
2,7/16/22 1:30,16.618
2,7/16/22 1:45,16.808
2,7/16/22 2:00,16.903
2,7/16/22 2:15,16.808
2,7/16/22 2:30,16.903
2,7/16/22 2:45,16.903
2,7/16/22 3:00,16.808
2,7/16/22 3:15,16.808
2,7/16/22 3:30,16.903
2,7/16/22 3:45,16.808
2,7/16/22 4:00,16.808
2,7/16/22 4:15,16.808
2,7/16/22 4:30,16.808
2,7/16/22 4:45,16.808
2,7/16/22 5:00,16.713
2,7/16/22 5:15,16.713
2,7/16/22 5:30,16.713
2,7/16/22 5:45,16.903
2,7/16/22 6:00,16.713
2,7/16/22 6:15,16.808
2,7/16/22 6:30,16.713
2,7/16/22 6:45,16.808
2,7/16/22 7:00,16.903
2,7/16/22 7:15,16.903
2,7/16/22 7:30,16.808
2,7/16/22 7:45,16.618
2,7/16/22 8:00,16.808
2,7/16/22 8:15,16.808
2,7/16/22 8:30,16.808
2,7/16/22 8:45,16.141
2,7/16/22 9:00,16.427
2,7/16/22 9:15,19.948
2,7/16/22 9:30,21.855
2,7/16/22 9:45,22.333
2,7/16/22 10:00,22.812
2,7/16/22 10:15,22.908
2,7/16/22 10:30,22.812
2,7/16/22 10:45,24.545
2,7/16/22 11:00,25.125
2,7/16/22 11:15,25.319
2,7/16/22 11:30,24.931
2,7/16/22 11:45,25.61
2,7/16/22 12:00,25.805
2,7/16/22 12:15,25.805
2,7/16/22 12:30,25.805
2,7/16/22 12:45,25.708
2,7/16/22 13:00,25.708
2,7/16/22 13:15,25.708
2,7/16/22 13:30,25.708
2,7/16/22 13:45,25.708
2,7/16/22 14:00,25.708
2,7/16/22 14:15,25.708
2,7/16/22 14:30,25.708
2,7/16/22 14:45,25.708
2,7/16/22 15:00,25.708
2,7/16/22 15:15,25.708
2,7/16/22 15:30,25.708
2,7/16/22 15:45,25.708
2,7/16/22 16:00,25.61
2,7/16/22 16:15,25.61
2,7/16/22 16:30,25.708
2,7/16/22 16:45,25.708
2,7/16/22 17:00,25.61
2,7/16/22 17:15,25.61
2,7/16/22 17:30,25.61
2,7/16/22 17:45,25.708
2,7/16/22 18:00,25.708
2,7/16/22 18:15,25.61
2,7/16/22 18:30,25.61
2,7/16/22 18:45,25.61
2,7/16/22 19:00,25.708
2,7/16/22 19:15,25.708
2,7/16/22 19:30,25.708
2,7/16/22 19:45,25.61
2,7/16/22 20:00,25.61
2,7/16/22 20:15,25.708
2,7/16/22 20:30,25.708
2,7/16/22 20:45,25.708
2,7/16/22 21:00,25.708
2,7/16/22 21:15,25.708
2,7/16/22 21:30,25.708
2,7/16/22 21:45,25.708
2,7/16/22 22:00,25.708
2,7/16/22 22:15,25.708
2,7/16/22 22:30,25.708
2,7/16/22 22:45,25.61
2,7/16/22 23:00,25.416
2,7/16/22 23:15,25.319
2,7/16/22 23:30,25.319
2,7/16/22 23:45,22.525
2,7/17/22 0:00,22.429
2,7/17/22 0:15,22.525
2,7/17/22 0:30,22.333
2,7/17/22 0:45,22.238
2,7/17/22 1:00,22.333
2,7/17/22 1:15,18.045
2,7/17/22 1:30,16.237
2,7/17/22 1:45,16.808
2,7/17/22 2:00,16.999
